Last login: Thu Feb 20 14:08:16 on console
maclab-123:~ huber021$ ps
  PID TTY           TIME CMD
78570 ttys000    0:00.01 -bash
maclab-123:~ huber021$ ps x
  PID   TT  STAT      TIME COMMAND
huber021         78520   0.0  0.1  4358672  11840   ??  Ss    2:08PM   0:00.03 /System/Library/Frameworks/iTunesLibrary.framework/Version
huber021         78518   0.0  0.3  4370244  43388   ??  S     2:08PM   0:00.38 /System/Library/PrivateFrameworks/AssistantServices.framew
huber021         78517   0.0  0.1  4318448   9236   ??  Ss    2:08PM   0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServi
huber021         78516   0.0  0.1  4333568  14776   ??  Ss    2:08PM   0:00.03 /System/Library/PrivateFrameworks/CommerceKit.framework/Ve
huber021         78515   0.0  0.1  4377540  23356   ??  S     2:08PM   0:00.06 /System/Library/PrivateFrameworks/CommerceKit.framework/Re
huber021         78514   0.0  0.1  4359708  18376   ??  S     2:08PM   0:00.05 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.fram
huber021         78513   0.0  0.2  4386608  31576   ??  Ss    2:08PM   0:00.16 /System/Library/Frameworks/MediaLibrary.framework/Versions
huber021         78511   0.0  0.1  4358220   9256   ??  S     2:08PM   0:00.08 /System/Library/Frameworks/AudioToolbox.framework/AudioCom
huber021         78510   0.0  0.1  4358672  11836   ??  Ss    2:08PM   0:00.03 /System/Library/Frameworks/iTunesLibrary.framework/Version
huber021         78509   0.0  0.1  4372016  24248   ??  S     2:08PM   0:00.23 /System/Library/PrivateFrameworks/CommerceKit.framework/Ve
huber021         78507   0.0  0.1  4355028  17664   ??  S     2:08PM   0:00.04 /System/Library/PrivateFrameworks/CommerceKit.framework/Ve
huber021         78504   0.0  0.1  4328468  12944   ??  S     2:08PM   0:00.02 /System/Library/CoreServices/Software Update.app/Contents/
huber021         78503   0.0  0.1  4845160  16492   ??  Ss    2:08PM   0:00.14 /System/Library/Frameworks/Metal.framework/Versions/A/XPCS
